driver,career_races,career_wins,career_win_pct,career_top_5,career_top_5_pct,career_top_10,career_top_10_pct,career_top_20,career_top_20_pct,career_avg_start,career_best_start,career_worst_start,career_avg_finish,career_best_finish,career_worst_finish,career_avg_laps_led,career_total_laps_led,career_most_laps_led,career_total_money,career_avg_money,career_max_race_money,career_min_race_money
Dave Mader,6,0,0.0,0,0.0,0,0.0,1,0.16667,20.67,14,26,27.83,16,38,0.0,0,0,880,220,280,75
Dave Mader III,10,0,0.0,0,0.0,0,0.0,3,0.3,25.8,10,37,25.9,16,39,0.7,7,7,68310,6831,13365,1565
Dave Marburger,1,0,0.0,0,0.0,0,0.0,0,0.0,,,,25.0,25,25,0.0,0,0,0,,,
Dave Marcis,883,5,0.00566,94,0.10646,222,0.25142,441,0.49943,20.2,1,49,20.15,1,46,3.06,2699,224,6898922,7822,112575,100
Dave Pletcher,3,0,0.0,0,0.0,0,0.0,0,0.0,32.67,24,38,30.67,27,36,0.0,0,0,6940,2313,2895,2015
Dave Reiley,1,0,0.0,0,0.0,0,0.0,0,0.0,26.0,26,26,31.0,31,31,0.0,0,0,0,,,
Dave Terrell,68,0,0.0,4,0.05882,23,0.33824,46,0.67647,17.96,2,48,17.46,3,53,0.13,9,9,6630,118,750,25
Dave Watson,5,0,0.0,0,0.0,1,0.2,3,0.6,19.4,15,25,20.2,8,32,1.4,7,6,8770,1754,2850,675
Dave White,7,0,0.0,0,0.0,2,0.28571,5,0.71429,14.0,7,25,17.43,8,38,0.0,0,0,810,135,180,100
Davey Allison,191,19,0.09948,66,0.34555,92,0.48168,136,0.71204,12.37,1,41,14.25,1,42,26.06,4978,263,4966194,26001,244050,990
David Ezell,3,0,0.0,1,0.33333,1,0.33333,2,0.66667,26.33,6,54,17.0,3,30,0.0,0,0,550,183,450,50
David Gilliland,333,0,0.0,4,0.01201,8,0.02402,51,0.15315,31.28,1,43,28.31,2,43,0.23,76,18,33848040,102570,818171,60390
David Green,78,0,0.0,0,0.0,0,0.0,14,0.17949,26.37,1,43,29.97,12,43,0.1,8,7,2199834,28203,101575,9954
David Hobbs,2,0,0.0,0,0.0,0,0.0,1,0.5,19.0,16,22,25.5,17,34,1.0,2,2,3030,1515,1900,1130
David Mayhew,1,0,0.0,0,0.0,0,0.0,0,0.0,33.0,33,33,40.0,40,40,0.0,0,0,72625,72625,72625,72625
David Mote,7,0,0.0,0,0.0,0,0.0,2,0.28571,25.71,19,32,24.86,14,34,0.0,0,0,1150,192,525,100
David Murry,1,0,0.0,0,0.0,0,0.0,0,0.0,31.0,31,31,39.0,39,39,0.0,0,0,21965,21965,21965,21965
David Pearson,575,105,0.18261,301,0.52348,366,0.63652,442,0.7687,6.31,1,50,11.09,1,48,44.21,25422,491,2605726,4571,49990,30
David Ragan,477,2,0.00419,16,0.03354,43,0.09015,150,0.31447,25.04,1,43,24.21,1,43,0.36,171,15,36152208,110896,529350,59750
David Ray Boggs,32,0,0.0,0,0.0,2,0.0625,14,0.4375,24.69,10,37,24.22,6,50,0.0,0,0,25973,812,1715,250
David Reutimann,235,2,0.00851,12,0.05106,26,0.11064,91,0.38723,23.58,1,43,24.0,1,43,1.43,336,104,25671690,109241,533726,45350
David Simko,10,0,0.0,0,0.0,0,0.0,0,0.0,34.5,29,40,31.9,26,40,0.0,0,0,17220,1722,2450,1200
David Sisco,133,0,0.0,6,0.04511,31,0.23308,80,0.6015,22.18,6,46,18.59,3,39,0.74,98,28,231001,1737,9120,265
David Sosebee,10,0,0.0,0,0.0,0,0.0,0,0.0,32.9,27,40,30.5,21,39,0.0,0,0,35210,3521,14145,680
David Starr,18,0,0.0,0,0.0,0,0.0,0,0.0,36.89,32,43,33.22,23,39,0.11,2,2,336830,84208,87930,79925
David Stremme,200,0,0.0,0,0.0,3,0.015,41,0.205,29.59,2,43,29.63,8,43,0.14,28,10,18726587,93633,300763,58125
David Warren,1,0,0.0,0,0.0,0,0.0,1,1.0,17.0,17,17,16.0,16,16,0.0,0,0,100,100,100,100
Davy Jones,7,0,0.0,0,0.0,0,0.0,1,0.14286,28.57,22,36,29.57,20,37,0.0,0,0,109925,15704,34290,9275
Dawson Lechlider,4,0,0.0,0,0.0,0,0.0,1,0.25,24.0,17,37,31.0,12,50,0.0,0,0,75,25,25,25
Dean Combs,24,0,0.0,0,0.0,1,0.04167,7,0.29167,23.79,7,34,26.96,8,38,0.0,0,0,43755,1823,7050,570
Dean Dalton,118,0,0.0,0,0.0,10,0.08475,56,0.47458,25.75,5,48,21.95,6,51,0.05,6,6,126801,1075,3045,220
Dean Layfield,8,0,0.0,1,0.125,1,0.125,7,0.875,17.83,9,24,16.0,4,27,0.0,0,0,665,111,295,50
Dean Pelton,3,0,0.0,0,0.0,0,0.0,2,0.66667,44.0,44,44,22.33,11,36,0.0,0,0,155,52,75,25
Dean Roper,5,0,0.0,0,0.0,0,0.0,3,0.6,28.0,19,32,19.6,15,28,0.0,0,0,35635,7127,13850,2650
Dell Pearson,8,0,0.0,1,0.125,3,0.375,7,0.875,23.5,16,39,12.0,2,23,0.0,0,0,1000,125,700,25
Delma Cowart,21,0,0.0,0,0.0,0,0.0,3,0.14286,33.43,22,40,29.57,17,40,0.0,0,0,79840,3802,23285,1050
Dennis DeVea,1,0,0.0,0,0.0,0,0.0,0,0.0,31.0,31,31,24.0,24,24,1.0,1,1,1670,1670,1670,1670
Dennis Setzer,8,0,0.0,0,0.0,0,0.0,1,0.125,31.75,14,42,31.38,19,39,0.0,0,0,231495,28937,81000,15750
Dennis Zimmerman,1,0,0.0,0,0.0,0,0.0,1,1.0,10.0,10,10,15.0,15,15,0.0,0,0,100,100,100,100
Denny Hamlin,672,54,0.08036,230,0.34226,349,0.51935,512,0.7619,11.83,1,42,13.21,1,43,22.51,15124,381,52911480,146164,1148451,61030
Denny Wilson,1,0,0.0,0,0.0,0,0.0,0,0.0,37.0,37,37,38.0,38,38,0.0,0,0,3450,3450,3450,3450
Derek Kraus,5,0,0.0,0,0.0,0,0.0,0,0.0,30.8,25,38,30.6,28,35,1.6,8,6,0,,,
Derek White,1,0,0.0,0,0.0,0,0.0,0,0.0,42.0,42,42,39.0,39,39,0.0,0,0,69655,69655,69655,69655
Derrike Cope,429,2,0.00466,6,0.01399,32,0.07459,144,0.33566,24.82,1,43,26.74,1,43,0.66,282,93,9321740,22792,207962,625
Dexter Bean,1,0,0.0,0,0.0,0,0.0,0,0.0,43.0,43,43,36.0,36,36,0.0,0,0,65450,65450,65450,65450
Dexter Gainey,2,0,0.0,0,0.0,0,0.0,0,0.0,25.0,18,32,33.5,24,43,0.0,0,0,650,650,650,650
Dick Allwine,6,0,0.0,0,0.0,1,0.16667,3,0.5,21.8,4,31,26.5,6,50,0.0,0,0,855,171,400,50
Dick Bailey,4,0,0.0,0,0.0,0,0.0,3,0.75,5.0,1,9,23.75,15,41,0.75,3,3,150,50,75,25
Dick Baron,1,0,0.0,0,0.0,0,0.0,0,0.0,,,,31.0,31,31,0.0,0,0,25,25,25,25
Dick Beaty,38,0,0.0,1,0.02632,10,0.26316,28,0.73684,20.21,8,70,16.79,5,53,0.0,0,0,4385,129,350,25
Dick Blackwell,6,0,0.0,0,0.0,0,0.0,3,0.5,32.17,17,79,25.17,12,56,0.0,0,0,310,78,150,50
Dick Bown,21,0,0.0,0,0.0,1,0.04762,10,0.47619,16.24,5,43,21.9,6,39,0.0,0,0,19240,916,2170,250
Dick Brooks,358,1,0.00279,57,0.15922,150,0.41899,219,0.61173,14.96,2,48,17.27,1,41,1.86,665,169,1133105,3165,44545,100
Dick Burns,9,0,0.0,2,0.22222,3,0.33333,5,0.55556,19.0,19,19,18.89,4,48,0.0,0,0,900,225,400,50
Dick Carter,7,0,0.0,0,0.0,0,0.0,3,0.42857,26.17,20,29,24.0,18,35,0.0,0,0,340,57,100,25
Dick Clothier,5,0,0.0,0,0.0,2,0.4,4,0.8,39.0,39,39,16.4,6,36,0.0,0,0,350,88,200,25
Dick Cook,3,0,0.0,0,0.0,0,0.0,3,1.0,18.0,13,25,14.67,13,18,0.0,0,0,490,163,350,50
Dick Denise,1,0,0.0,0,0.0,0,0.0,1,1.0,19.0,19,19,19.0,19,19,0.0,0,0,50,50,50,50
Dick Dixon,11,0,0.0,5,0.45455,7,0.63636,8,0.72727,13.55,3,43,12.18,3,42,0.0,0,0,2540,231,400,50
Dick Eagan,6,0,0.0,1,0.16667,3,0.5,4,0.66667,14.0,11,17,14.33,3,26,0.0,0,0,675,135,450,25
Dick Fellows,1,0,0.0,0,0.0,1,1.0,1,1.0,,,,9.0,9,9,0.0,0,0,75,75,75,75
Dick Foley,7,0,0.0,0,0.0,0,0.0,2,0.28571,33.71,13,56,34.29,12,61,0.0,0,0,650,130,200,75
Dick Freeman,6,0,0.0,0,0.0,0,0.0,3,0.5,31.17,25,47,27.5,13,68,0.0,0,0,725,145,250,50
Dick Garlington,2,0,0.0,0,0.0,0,0.0,0,0.0,26.0,24,28,30.0,26,34,0.0,0,0,25,25,25,25
Dick Getty,26,0,0.0,3,0.11538,10,0.38462,21,0.80769,17.45,4,34,14.19,5,31,0.0,0,0,3715,149,325,10
Dick Girvin,1,0,0.0,0,0.0,0,0.0,1,1.0,,,,17.0,17,17,0.0,0,0,25,25,25,25
Dick Good,2,0,0.0,0,0.0,1,0.5,1,0.5,18.0,17,19,23.5,10,37,0.0,0,0,700,350,550,150
Dick Grice,1,0,0.0,0,0.0,0,0.0,0,0.0,,,,21.0,21,21,0.0,0,0,0,,,
Dick Guldstrand,7,0,0.0,1,0.14286,2,0.28571,3,0.42857,24.43,11,49,19.71,5,32,0.0,0,0,8520,1217,2540,500
Dick Hagy,1,0,0.0,0,0.0,0,0.0,1,1.0,32.0,32,32,19.0,19,19,0.0,0,0,40,40,40,40
Dick Hallock,7,0,0.0,0,0.0,1,0.14286,1,0.14286,23.0,19,27,27.86,9,43,0.0,0,0,300,100,150,50
Dick Hoffman,1,0,0.0,0,0.0,0,0.0,0,0.0,30.0,30,30,21.0,21,21,0.0,0,0,60,60,60,60
Dick Hutcherson,103,14,0.13592,64,0.62136,73,0.70874,90,0.87379,4.87,1,26,8.67,1,42,39.27,4045,269,149905,1470,16500,100
Dick Jennette,1,0,0.0,0,0.0,0,0.0,1,1.0,,,,17.0,17,17,0.0,0,0,25,25,25,25
Dick Jerrett,3,0,0.0,0,0.0,2,0.66667,3,1.0,,,,10.67,9,13,0.0,0,0,225,75,100,50
Dick Johnson,63,0,0.0,0,0.0,4,0.06349,29,0.46032,20.13,4,43,22.16,6,42,0.0,0,0,42932,704,4105,100
Dick Joslin,10,0,0.0,0,0.0,2,0.2,5,0.5,24.3,5,38,23.4,7,44,0.0,0,0,1545,172,425,85
Dick Kable,1,0,0.0,0,0.0,0,0.0,0,0.0,,,,26.0,26,26,0.0,0,0,0,,,
Dick Keene,1,0,0.0,0,0.0,0,0.0,0,0.0,,,,37.0,37,37,0.0,0,0,0,,,
Dick Klank,7,0,0.0,0,0.0,1,0.14286,3,0.42857,28.0,19,47,23.14,8,39,0.0,0,0,565,94,165,50
Dick Kranzler,9,0,0.0,0,0.0,0,0.0,3,0.33333,28.67,19,45,25.89,14,48,0.0,0,0,9430,1048,1670,700
Dick Lawrence,1,0,0.0,0,0.0,0,0.0,1,1.0,21.0,21,21,19.0,19,19,0.0,0,0,1275,1275,1275,1275
Dick Linder,28,3,0.10714,6,0.21429,11,0.39286,20,0.71429,14.0,1,62,16.57,1,69,16.43,460,159,6545,273,1500,10
Dick Martin,2,0,0.0,0,0.0,0,0.0,1,0.5,18.0,14,22,18.5,15,22,0.0,0,0,50,25,25,25
Dick May,185,0,0.0,0,0.0,8,0.04324,87,0.47027,28.74,14,56,22.34,6,41,0.0,0,0,274410,1491,8745,100
Dick Meyer,8,0,0.0,4,0.5,5,0.625,8,1.0,8.0,3,16,8.88,2,19,10.25,82,82,2700,338,1000,25
Dick Miller,2,0,0.0,0,0.0,0,0.0,2,1.0,17.5,17,18,15.0,15,15,0.0,0,0,140,70,70,70
Dick Mitchell,2,0,0.0,0,0.0,0,0.0,1,0.5,26.5,22,31,20.5,20,21,0.0,0,0,725,363,525,200
Dick Moffitt,4,0,0.0,0,0.0,2,0.5,4,1.0,,,,12.5,7,18,0.0,0,0,275,69,125,25
Dick Parran,1,0,0.0,0,0.0,0,0.0,0,0.0,53.0,53,53,51.0,51,51,0.0,0,0,0,,,
Dick Passwater,20,1,0.05,7,0.35,14,0.7,18,0.9,12.46,2,31,9.35,1,25,0.15,3,3,5500,275,1000,25
Dick Poling,15,0,0.0,0,0.0,0,0.0,4,0.26667,25.6,8,47,24.93,15,49,0.0,0,0,6382,491,975,100
Dick Rathmann,129,13,0.10078,69,0.53488,79,0.6124,105,0.81395,7.07,1,59,10.78,1,62,16.91,2182,200,51740,417,2500,10
Dick Richter,1,0,0.0,0,0.0,0,0.0,0,0.0,32.0,32,32,35.0,35,35,0.0,0,0,0,,,
Dick Ross,2,0,0.0,0,0.0,0,0.0,0,0.0,,,,26.0,25,27,0.0,0,0,50,50,50,50
Dick Sanford,1,0,0.0,0,0.0,0,0.0,1,1.0,,,,12.0,12,12,0.0,0,0,25,25,25,25
Dick Santee,2,0,0.0,0,0.0,0,0.0,2,1.0,16.5,10,23,12.5,11,14,0.0,0,0,530,265,400,130
Dick Shuebruk,1,0,0.0,0,0.0,0,0.0,0,0.0,,,,21.0,21,21,0.0,0,0,0,,,
Dick Simon,3,0,0.0,0,0.0,1,0.33333,1,0.33333,40.0,31,52,24.33,7,35,0.0,0,0,7110,2370,3410,895
Dick Skillen,17,0,0.0,0,0.0,0,0.0,3,0.17647,32.82,18,39,26.35,17,40,0.0,0,0,26015,1530,3920,575
Dick Smith,5,0,0.0,1,0.2,3,0.6,5,1.0,8.25,4,11,10.0,3,19,0.0,0,0,1225,245,550,50
Dick Soper,1,0,0.0,0,0.0,0,0.0,0,0.0,50.0,50,50,57.0,57,57,0.0,0,0,0,,,
Dick Stacey,1,0,0.0,0,0.0,0,0.0,0,0.0,43.0,43,43,22.0,22,22,0.0,0,0,25,25,25,25
Dick Stone,5,0,0.0,0,0.0,1,0.2,3,0.6,,,,18.8,10,27,0.0,0,0,125,31,50,25
Dick Trickle,303,0,0.0,15,0.0495,36,0.11881,111,0.36634,22.0,1,43,24.21,3,43,0.61,184,63,5130778,16933,91705,245
Dick Turcott,1,0,0.0,0,0.0,0,0.0,1,1.0,18.0,18,18,17.0,17,17,0.0,0,0,25,25,25,25
Dick Vermillion,1,0,0.0,0,0.0,0,0.0,1,1.0,,,,14.0,14,14,0.0,0,0,25,25,25,25
Dick Walters,8,0,0.0,0,0.0,1,0.125,7,0.875,18.75,15,28,17.63,10,31,0.0,0,0,680,85,140,50
Dick Watson,1,0,0.0,0,0.0,0,0.0,1,1.0,23.0,23,23,17.0,17,17,0.0,0,0,370,370,370,370
Dick Whalen,1,0,0.0,0,0.0,0,0.0,1,1.0,32.0,32,32,19.0,19,19,0.0,0,0,950,950,950,950
Dick Zimmermann,5,0,0.0,0,0.0,0,0.0,2,0.4,15.0,4,26,21.2,12,38,0.0,0,0,115,38,50,25
Dink Widenhouse,28,0,0.0,2,0.07143,11,0.39286,18,0.64286,14.57,1,59,17.64,4,54,0.0,0,0,3225,154,365,25
Dirk Stephens,2,0,0.0,0,0.0,0,0.0,0,0.0,40.5,39,42,36.0,30,42,0.0,0,0,12880,6440,6900,5980
Dizzy Dean,1,0,0.0,0,0.0,0,0.0,0,0.0,,,,41.0,41,41,0.0,0,0,0,,,
Doc Faustina,10,0,0.0,0,0.0,0,0.0,2,0.2,31.3,19,44,28.1,18,45,0.0,0,0,7995,800,1800,330
Doc Lee,1,0,0.0,0,0.0,0,0.0,1,1.0,22.0,22,22,15.0,15,15,0.0,0,0,75,75,75,75
Dominic Persicketti,5,0,0.0,0,0.0,2,0.4,4,0.8,21.0,14,36,21.6,8,54,0.0,0,0,800,200,300,50
Don Angel,5,0,0.0,0,0.0,0,0.0,2,0.4,20.25,13,35,19.4,13,27,0.0,0,0,310,78,100,50
Don Bailey,12,0,0.0,1,0.08333,2,0.16667,10,0.83333,25.5,15,41,15.58,4,35,0.0,0,0,750,63,350,25
Don Biederman,43,0,0.0,0,0.0,2,0.04651,25,0.5814,25.28,11,50,21.14,7,51,0.0,0,0,11320,283,1110,100
Don Black,1,0,0.0,0,0.0,0,0.0,0,0.0,,,,21.0,21,21,0.0,0,0,25,25,25,25
Don Branson,8,0,0.0,0,0.0,0,0.0,3,0.375,23.5,16,34,23.88,13,34,0.0,0,0,660,110,150,100
Don Carr,5,0,0.0,0,0.0,0,0.0,1,0.2,17.6,9,36,26.2,16,36,0.0,0,0,210,70,100,50
Don Cecchini,2,0,0.0,0,0.0,0,0.0,1,0.5,24.5,5,44,27.5,17,38,0.0,0,0,50,50,50,50
Don Dahle,1,0,0.0,0,0.0,1,1.0,1,1.0,10.0,10,10,6.0,6,6,0.0,0,0,200,200,200,200
Don Duckworth,1,0,0.0,0,0.0,0,0.0,0,0.0,40.0,40,40,55.0,55,55,0.0,0,0,50,50,50,50
Don Eggert,7,0,0.0,0,0.0,2,0.28571,4,0.57143,12.5,10,15,17.29,9,31,0.0,0,0,260,37,75,10
Don Glass,1,0,0.0,0,0.0,0,0.0,1,1.0,,,,14.0,14,14,0.0,0,0,75,75,75,75
Don Graham,3,0,0.0,0,0.0,0,0.0,0,0.0,33.0,22,42,24.67,22,30,0.0,0,0,3370,1123,1495,875
Don Gray,5,0,0.0,0,0.0,0,0.0,4,0.8,25.25,16,37,22.8,17,40,0.0,0,0,440,110,175,50
Don Hall,2,0,0.0,0,0.0,0,0.0,1,0.5,31.0,30,32,19.0,11,27,0.0,0,0,3325,1663,2225,1100
Don Hamilton,2,0,0.0,0,0.0,0,0.0,0,0.0,23.0,20,26,23.0,21,25,0.0,0,0,0,,,
Don Hildreth,1,0,0.0,0,0.0,0,0.0,1,1.0,10.0,10,10,15.0,15,15,0.0,0,0,50,50,50,50
Don Hoffman,1,0,0.0,0,0.0,0,0.0,1,1.0,23.0,23,23,15.0,15,15,0.0,0,0,1650,1650,1650,1650
Don Hume,15,0,0.0,0,0.0,0,0.0,4,0.26667,31.2,23,41,27.27,16,40,0.0,0,0,28035,1869,4710,400
Don Israel,1,0,0.0,0,0.0,1,1.0,1,1.0,18.0,18,18,9.0,9,9,0.0,0,0,150,150,150,150
Don Johns,2,0,0.0,0,0.0,1,0.5,1,0.5,24.0,22,26,15.5,8,23,0.0,0,0,200,100,175,25
Don Johnson,1,0,0.0,0,0.0,0,0.0,0,0.0,,,,29.0,29,29,0.0,0,0,0,,,
Don Kent,1,0,0.0,0,0.0,0,0.0,1,1.0,28.0,28,28,20.0,20,20,0.0,0,0,25,25,25,25
Don Kimberling,1,0,0.0,0,0.0,0,0.0,0,0.0,39.0,39,39,46.0,46,46,0.0,0,0,100,100,100,100
Don McLeish,1,0,0.0,0,0.0,0,0.0,1,1.0,11.0,11,11,14.0,14,14,0.0,0,0,25,25,25,25
Don Noel,24,0,0.0,4,0.16667,4,0.16667,10,0.41667,22.59,5,44,23.88,2,48,0.0,0,0,15935,664,1415,50
Don Odell,3,0,0.0,0,0.0,1,0.33333,1,0.33333,16.33,9,20,34.33,10,54,0.0,0,0,540,180,200,140
Don Oldenberg,20,0,0.0,2,0.1,9,0.45,15,0.75,19.5,3,37,15.95,5,60,0.0,0,0,2225,117,250,25
Don Ostendorf,1,0,0.0,0,0.0,0,0.0,1,1.0,,,,15.0,15,15,0.0,0,0,25,25,25,25
Don Patton,1,0,0.0,0,0.0,0,0.0,1,1.0,26.0,26,26,12.0,12,12,0.0,0,0,500,500,500,500
Don Porter,9,0,0.0,0,0.0,4,0.44444,8,0.88889,14.22,1,25,12.78,6,21,0.0,0,0,900,113,250,50
Don Price,2,0,0.0,0,0.0,0,0.0,2,1.0,23.0,23,23,18.0,16,20,0.0,0,0,75,38,50,25
Don Pruitt,1,0,0.0,0,0.0,0,0.0,0,0.0,30.0,30,30,32.0,32,32,0.0,0,0,670,670,670,670
Don Puskarich,17,0,0.0,0,0.0,0,0.0,6,0.35294,30.65,20,41,25.24,12,42,0.0,0,0,20380,1199,2160,580
Don Reynolds,4,0,0.0,0,0.0,1,0.25,4,1.0,33.0,31,37,16.5,10,20,0.0,0,0,4970,1243,1325,1140
Don Rogala,1,0,0.0,0,0.0,1,1.0,1,1.0,,,,10.0,10,10,0.0,0,0,50,50,50,50
Don Rudolph,2,0,0.0,0,0.0,0,0.0,0,0.0,47.0,47,47,39.0,35,43,0.0,0,0,35,18,25,10
Don Satterfield,4,0,0.0,0,0.0,0,0.0,1,0.25,28.25,27,30,25.75,19,30,0.0,0,0,3005,751,925,450
Don Schisler,3,0,0.0,0,0.0,0,0.0,1,0.33333,26.0,17,31,30.0,14,40,0.0,0,0,1865,622,850,275
Don Simkins,1,0,0.0,0,0.0,0,0.0,1,1.0,38.0,38,38,12.0,12,12,0.0,0,0,965,965,965,965
Don Sprouse,6,0,0.0,0,0.0,0,0.0,4,0.66667,19.5,10,39,18.5,14,24,0.0,0,0,9730,1622,5900,520
Don Stanyer,1,0,0.0,0,0.0,0,0.0,0,0.0,26.0,26,26,25.0,25,25,0.0,0,0,40,40,40,40
Don Stives,3,0,0.0,0,0.0,1,0.33333,1,0.33333,23.67,10,36,24.0,8,36,0.0,0,0,510,170,225,100
Don Strain,1,0,0.0,0,0.0,1,1.0,1,1.0,21.0,21,21,9.0,9,9,0.0,0,0,140,140,140,140
Don Stumpf,1,0,0.0,0,0.0,0,0.0,0,0.0,,,,22.0,22,22,0.0,0,0,25,25,25,25
Don Tarr,48,0,0.0,0,0.0,9,0.1875,23,0.47917,26.4,4,48,23.54,6,46,0.23,11,6,43627,909,4100,100
Don Taylor,2,0,0.0,0,0.0,0,0.0,2,1.0,16.0,16,16,16.0,12,20,0.0,0,0,200,100,100,100
Don Tilley,6,0,0.0,0,0.0,0,0.0,2,0.33333,26.17,11,44,24.67,15,42,0.0,0,0,1995,399,1140,100
Don Tomberlin,3,0,0.0,0,0.0,0,0.0,1,0.33333,13.67,13,14,25.33,15,34,0.0,0,0,1125,375,850,100
Don Vershure,3,0,0.0,0,0.0,0,0.0,1,0.33333,,,,21.0,13,27,0.0,0,0,75,25,25,25
Don Walker,3,0,0.0,0,0.0,0,0.0,1,0.33333,31.33,27,34,26.0,15,38,0.0,0,0,1615,538,590,500
Don Waterman,9,0,0.0,0,0.0,1,0.11111,5,0.55556,26.56,18,36,20.22,10,33,0.22,2,1,19285,2143,3970,700
Don Welch,1,0,0.0,0,0.0,0,0.0,1,1.0,,,,13.0,13,13,0.0,0,0,25,25,25,25
Don White,26,0,0.0,7,0.26923,12,0.46154,18,0.69231,13.0,4,25,14.65,2,39,0.31,8,8,36410,1400,7350,50
Don Whittington,10,0,0.0,0,0.0,1,0.1,4,0.4,18.6,10,32,25.5,9,38,0.0,0,0,32570,3257,11585,500
Don Woodard,1,0,0.0,0,0.0,0,0.0,0,0.0,33.0,33,33,33.0,33,33,0.0,0,0,0,,,
Donald Thomas,79,1,0.01266,14,0.17722,37,0.46835,60,0.75949,14.92,1,42,14.57,1,60,0.78,62,53,10695,141,1000,10
Donald Tucker,9,0,0.0,1,0.11111,3,0.33333,4,0.44444,19.44,6,34,20.0,4,33,0.0,0,0,5830,648,1750,150
Donnie Allison,242,10,0.04132,78,0.32231,115,0.47521,140,0.57851,9.43,1,44,16.65,1,42,19.17,4639,374,1087388,4512,39750,100
Donny Paul,3,0,0.0,0,0.0,0,0.0,0,0.0,30.67,29,33,37.0,35,41,0.0,0,0,4040,1347,1915,1005
Dorsey Schroeder,9,0,0.0,0,0.0,0,0.0,3,0.33333,25.89,11,41,28.0,13,41,0.44,4,3,148875,16542,52805,5105
Dorus Wisecarver,2,0,0.0,0,0.0,0,0.0,2,1.0,24.5,20,29,14.0,14,14,0.0,0,0,2325,1163,2225,100
Doug Congden,1,0,0.0,0,0.0,0,0.0,0,0.0,22.0,22,22,24.0,24,24,0.0,0,0,25,25,25,25
Doug Cooper,113,0,0.0,11,0.09735,29,0.25664,70,0.61947,17.23,2,41,17.99,3,42,0.0,0,0,32890,310,1350,50
Doug Cox,31,0,0.0,5,0.16129,14,0.45161,24,0.77419,17.8,1,53,15.48,2,54,0.0,0,0,5105,165,925,50
Doug Duvall,1,0,0.0,0,0.0,0,0.0,1,1.0,21.0,21,21,18.0,18,18,0.0,0,0,160,160,160,160
Doug Easton,1,0,0.0,0,0.0,0,0.0,0,0.0,33.0,33,33,35.0,35,35,0.0,0,0,875,875,875,875
Doug French,1,0,0.0,0,0.0,0,0.0,0,0.0,30.0,30,30,28.0,28,28,0.0,0,0,895,895,895,895
Doug George,2,0,0.0,0,0.0,0,0.0,0,0.0,42.5,42,43,36.0,31,41,0.0,0,0,18610,9305,10005,8605
Doug Heveron,31,0,0.0,0,0.0,0,0.0,11,0.35484,31.06,20,40,25.55,13,40,0.26,8,7,124635,4020,21120,1020
Doug Moore,29,0,0.0,0,0.0,6,0.2069,21,0.72414,18.97,8,39,16.93,6,34,0.0,0,0,6335,226,550,100
Doug Wells,1,0,0.0,0,0.0,0,0.0,0,0.0,35.0,35,35,44.0,44,44,0.0,0,0,0,,,
Doug Wheeler,2,0,0.0,0,0.0,0,0.0,1,0.5,32.0,25,39,19.5,18,21,0.0,0,0,4625,2313,2755,1870
Doug Wilson,4,0,0.0,0,0.0,0,0.0,3,0.75,27.75,20,35,20.75,15,32,0.0,0,0,750,188,250,100
Doug Wimpy,1,0,0.0,0,0.0,0,0.0,1,1.0,14.0,14,14,14.0,14,14,0.0,0,0,25,25,25,25
Doug Yates,87,0,0.0,8,0.09195,28,0.32184,58,0.66667,14.86,1,49,17.92,2,66,0.7,61,39,15755,190,1100,25
Drew Herring,1,0,0.0,0,0.0,0,0.0,0,0.0,37.0,37,37,29.0,29,29,0.0,0,0,0,,,
Duane Carter,1,0,0.0,0,0.0,1,1.0,1,1.0,,,,7.0,7,7,0.0,0,0,150,150,150,150
Dub Livingston,7,0,0.0,0,0.0,1,0.14286,4,0.57143,25.25,11,38,22.14,7,46,0.0,0,0,250,42,125,25
Dub Simpson,48,0,0.0,1,0.02083,2,0.04167,14,0.29167,26.46,7,47,27.02,5,50,0.0,0,0,30305,645,1535,210
Dub Utsman,1,0,0.0,0,0.0,0,0.0,0,0.0,33.0,33,33,29.0,29,29,0.0,0,0,125,125,125,125
Dudley Froy,2,0,0.0,0,0.0,0,0.0,2,1.0,16.0,16,16,13.0,13,13,0.0,0,0,50,25,25,25
Duke DeBrizzi,3,0,0.0,0,0.0,0,0.0,2,0.66667,27.33,21,37,22.67,12,41,0.0,0,0,225,113,125,100
Duke Heller,1,0,0.0,0,0.0,0,0.0,0,0.0,28.0,28,28,31.0,31,31,0.0,0,0,25,25,25,25
Dusty Fuller,1,0,0.0,0,0.0,0,0.0,0,0.0,32.0,32,32,23.0,23,23,0.0,0,0,40,40,40,40
Dutch Hoag,4,0,0.0,0,0.0,1,0.25,3,0.75,13.0,3,34,20.5,8,45,0.0,0,0,225,75,150,25
Dutch Munsinger,4,0,0.0,0,0.0,1,0.25,1,0.25,11.0,7,17,25.25,8,43,0.0,0,0,175,88,150,25
Dylan Lupton,4,0,0.0,0,0.0,0,0.0,0,0.0,38.25,37,39,32.5,25,39,0.0,0,0,0,,,
E.C. Ramsey,7,0,0.0,0,0.0,0,0.0,5,0.71429,23.5,12,59,18.86,11,34,0.0,0,0,260,37,50,25
E.J. Brewer,6,0,0.0,0,0.0,1,0.16667,4,0.66667,22.5,10,36,20.67,7,42,0.0,0,0,600,120,250,15
